id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
148,WATAWALA  PLANTATIONS  PLC,WATA.N0000,500,-0.27137042062415195,-0.2,73.5,73.7,73.5,73.5,1678681807679,01/DEC/1997,36750.0,500,1,14983846252.1,0.0,73.5,0.0,500,1,0,2023-03-13 04:31:32.756558,2023-03-13
455,DOLPHIN HOTELS PLC,STAF.N0000,1,-2.140672782874618,-0.7,32.0,32.7,32.0,32.0,1678681807679,01/JAN/1982,32.0,1,1,2068044595.8,0.0,32.0,0.0,1,1,0,2023-03-13 04:31:32.756558,2023-03-13
115,ELPITIYA PLANTATIONS PLC,ELPL.N0000,112,-0.6257822277847309,-0.5,79.4,79.9,79.4,79.4,1678681807679,08/DEC/2000,8892.8,112,1,5822027597.2,0.0,79.4,0.0,112,1,2,2023-03-13 04:31:32.756558,2023-03-13
1803,EXPOLANKA HOLDINGS PLC,EXPO.N0000,50,0.33444816053511706,0.5,150.0,149.5,150.0,149.75,1678682480765,13/JUN/2011,804087.5,5366,3,292259792500.0,0.0,150.0,0.0,5366,3,0,2023-03-13 04:31:32.756558,2023-03-13
5472,EXTERMINATORS PLC,EXT.N0000,99,-4.109589041095891,-0.3,7.0,7.3,7.0,7.0,1678681807679,30/MAR/2022,693.0,99,1,385822950.7,0.0,7.0,0.0,99,1,2,2023-03-13 04:31:32.756558,2023-03-13
528,FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,150,0.0,0.0,35.9,35.9,35.9,35.9,1678681807679,22/AUG/1994,5385.0,150,1,14539500000.0,0.0,35.9,0.0,150,1,2,2023-03-13 04:31:32.756558,2023-03-13
116,GALADARI HOTELS (LANKA) PLC,GHLL.N0000,30,0.7352941176470589,0.1,13.7,13.6,13.7,13.7,1678681807679,01/JAN/1970,411.0,30,1,6811282070.4,0.0,13.7,0.0,30,1,2,2023-03-13 04:31:32.756558,2023-03-13
533,GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,28,0.0,0.0,18.5,18.5,18.5,18.5,1678681807679,21/NOV/2001,518.0,28,1,477925448.0,0.0,18.5,0.0,28,1,0,2023-03-13 04:31:32.756558,2023-03-13
466,GESTETNER OF CEYLON PLC,GEST.N0000,10,-3.0172413793103448,-2.1,67.5,69.6,67.5,67.5,1678681807679,01/JAN/1965,675.0,10,1,184983715.2,0.0,67.5,0.0,10,1,0,2023-03-13 04:31:32.756558,2023-03-13
172,HATTON NATIONAL BANK PLC,HNB.N0000,450,-0.5825242718446602,-0.75,128.0,128.75,128.0,128.0,1678681807679,01/JAN/1971,57600.0,450,1,55162034318.75,0.0,128.0,0.0,450,1,0,2023-03-13 04:31:32.756558,2023-03-13
175,HAYLEYS PLC,HAYL.N0000,14072,0.0,0.0,78.0,78.0,78.0,78.0,1678681807679,01/JAN/1953,1097616.0,14072,1,58500000000.0,0.0,78.0,0.0,14072,1,0,2023-03-13 04:31:32.756558,2023-03-13
5431,HELA APPAREL HOLDINGS PLC,HELA.N0000,1,1.1494252873563218,0.1,8.8,8.7,8.8,8.8,1678681807679,07/FEB/2022,8.8,1,1,11396616617.1,0.0,8.8,0.0,1,1,0,2023-03-13 04:31:32.756558,2023-03-13
5,HNB ASSURANCE PLC,HASU.N0000,10,0.3937007874015748,0.2,51.0,50.8,51.0,51.0,1678681807679,28/NOV/2003,510.0,10,1,7620000000.0,0.0,51.0,0.0,10,1,0,2023-03-13 04:31:32.756558,2023-03-13
4680,HNB FINANCE PLC,HNBF.N0000,550,-1.7543859649122806,-0.1,5.6,5.7,5.6,5.6,1678681807679,08/JAN/2020,3080.0,550,1,8101869556.8,0.0,5.6,0.0,550,1,2,2023-03-13 04:31:32.756558,2023-03-13
103,HORANA PLANTATIONS PLC,HOPL.N0000,4,-0.4024144869215292,-0.2,49.5,49.7,49.5,49.5,1678681807679,12/FEB/1996,198.0,4,1,1242500000.0,0.0,49.5,0.0,4,1,0,2023-03-13 04:31:32.756558,2023-03-13
5311,hSenid Business Solutions PLC,HBS.N0000,2966,0.0,0.0,16.0,16.0,16.0,16.0,1678681807679,21/DEC/2021,47456.0,2966,1,4427126016.0,0.0,16.0,0.0,2966,1,0,2023-03-13 04:31:32.756558,2023-03-13
269,INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,11778,0.0,0.0,0.4,0.4,0.4,0.4,1678681807679,01/JAN/1978,4711.2,11778,1,1499764500.0,0.0,0.4,0.0,11778,1,0,2023-03-13 04:31:32.756558,2023-03-13
4019,JETWING SYMPHONY PLC,JETS.N0000,1300,1.36986301369863,0.1,7.4,7.3,7.4,7.4,1678681807679,05/JAN/2018,9620.0,1300,1,4395976480.7,0.0,7.4,0.0,1300,1,2,2023-03-13 04:31:32.756558,2023-03-13
297,JOHN KEELLS HOLDINGS PLC,JKH.N0000,50,0.0,0.0,142.0,142.0,142.0,142.0,1678681807679,23/OCT/1986,7100.0,50,1,196658161744.0,0.0,142.0,0.0,50,1,0,2023-03-13 04:31:32.756558,2023-03-13
284,JOHN KEELLS PLC,JKL.N0000,1,0.5714285714285714,0.4,70.4,70.0,70.4,70.4,1678681807679,01/JAN/1974,70.4,1,1,4256000000.0,0.0,70.4,0.0,1,1,2,2023-03-13 04:31:32.756558,2023-03-13
82,KELANI TYRES PLC,TYRE.N0000,54,-1.3605442176870748,-0.8,58.0,58.8,58.3,58.0,1678681807679,28/JAN/1994,37017.1,638,7,4727520000.0,0.0,58.3,0.0,638,7,0,2023-03-13 04:31:32.756558,2023-03-13
147,KOTAGALA PLANTATIONS PLC,KOTA.N0000,4900,1.5151515151515151,0.1,6.7,6.6,6.7,6.7,1678681807679,12/DEC/1995,32830.0,4900,1,2234182500.0,0.0,6.7,0.0,4900,1,0,2023-03-13 04:31:32.756558,2023-03-13
18,LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,19,0.0,0.0,18.7,18.7,18.7,18.7,1678681807679,20/APR/1987,355.3,19,1,1281213950.5,0.0,18.7,0.0,19,1,0,2023-03-13 04:31:32.756558,2023-03-13
553,LANKA IOC PLC,LIOC.N0000,570,-1.6645326504481435,-3.25,192.0,195.25,194.0,192.0,1678682454841,22/DEC/2004,339440.0,1760,5,103963928901.25,0.0,194.0,0.0,1760,5,0,2023-03-13 04:31:32.756558,2023-03-13
250,LANKA REALTY INVESTMENTS PLC,ASCO.N0000,6000,0.7692307692307693,0.1,13.1,13.0,13.1,13.1,1678681807679,01/JAN/1969,78600.0,6000,1,2747815564.0,0.0,13.1,0.0,6000,1,0,2023-03-13 04:31:32.756558,2023-03-13
