Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
ABANS ELECTRICALS PLC,ABAN.N0000,16,2,172.0,165.0,165.0,165.0,172.0,0.0,0.0,2022-04-12
ABANS FINANCE PLC,AFSL.N0000,16,2,26.5,26.4,26.4,26.4,26.5,0.0,0.0,2022-04-12
ACCESS ENGINEERING PLC,AEL.N0000,258052,129,14.5,15.0,15.0,14.4,14.6,0.1,0.69,2022-04-12
ACL CABLES PLC,ACL.N0000,217848,156,50.0,50.0,52.0,46.0,48.4,-1.6,-3.2,2022-04-12
ACL PLASTICS PLC,APLA.N0000,177,14,327.0,383.75,383.75,320.0,340.0,13.0,3.98,2022-04-12
ACME PRINTING & PACKAGING PLC,ACME.N0000,569,8,9.6,9.6,10.2,9.0,9.9,0.3,3.13,2022-04-12
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,79572,105,31.0,30.5,32.0,29.0,29.8,-1.2,-3.87,2022-04-12
AGSTAR PLC,AGST.N0000,286156,62,6.0,6.0,6.4,5.7,5.9,-0.1,-1.67,2022-04-12
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,553,6,32.1,37.0,37.0,32.0,33.8,1.7,5.3,2022-04-12
AITKEN SPENCE PLC,SPEN.N0000,247649,48,79.0,79.0,80.0,77.0,79.1,0.1,0.13,2022-04-12
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4907,17,58.5,61.0,61.0,58.1,59.6,1.1,1.88,2022-04-12
ALUMEX PLC,ALUM.N0000,543142,108,7.3,7.2,7.3,7.0,7.0,-0.3,-4.11,2022-04-12
AMANA BANK PLC,ABL.N0000,149979,42,2.5,2.5,2.7,2.4,2.6,0.1,4.0,2022-04-12
AMANA TAKAFUL LIFE PLC,ATLL.N0000,135,3,22.0,22.0,22.0,22.0,22.0,0.0,0.0,2022-04-12
AMANA TAKAFUL PLC,ATL.N0000,2030,6,10.0,10.4,10.4,10.4,10.4,0.4,4.0,2022-04-12
AMBEON CAPITAL PLC,TAP.N0000,18031,21,6.2,6.2,6.8,6.0,6.2,0.0,0.0,2022-04-12
AMBEON HOLDINGS PLC,GREG.N0000,15501,24,38.5,38.8,38.8,33.6,38.6,0.1,0.26,2022-04-12
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,24175,12,1.0,1.0,1.1,1.0,1.0,0.0,0.0,2022-04-12
ARPICO INSURANCE PLC,AINS.N0000,625,5,16.8,16.7,17.9,16.7,16.9,0.1,0.6,2022-04-12
ASIA ASSET FINANCE PLC,AAF.N0000,130,3,6.3,6.2,6.2,6.2,6.2,-0.1,-1.59,2022-04-12
ASIA CAPITAL PLC,ACAP.N0000,1046,4,5.4,5.7,5.7,5.2,5.2,-0.2,-3.7,2022-04-12
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,40999,16,2.2,2.2,2.2,2.1,2.1,-0.1,-4.55,2022-04-12
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,3475,8,32.6,33.0,33.0,33.0,33.0,0.4,1.23,2022-04-12
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,2078,6,36.0,39.8,39.8,36.0,39.7,3.7,10.28,2022-04-12
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,13363,15,15.3,14.5,14.5,14.3,14.4,-0.9,-5.88,2022-04-12
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,41330,23,8.0,8.3,8.6,8.0,8.0,0.0,0.0,2022-04-12
B P P L HOLDINGS PLC,BPPL.N0000,125652,38,19.6,20.0,20.0,18.0,19.7,0.1,0.51,2022-04-12
BAIRAHA FARMS PLC,BFL.N0000,14862,42,144.0,160.0,160.0,140.0,145.0,1.0,0.69,2022-04-12
BALANGODA PLANTATIONS PLC,BALA.N0000,1414,15,18.5,18.5,19.0,17.8,18.0,-0.5,-2.7,2022-04-12
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,110,2,10.7,10.7,10.8,10.7,10.7,0.0,0.0,2022-04-12
BERUWALA RESORTS PLC,BERU.N0000,22100,5,0.9,0.8,0.9,0.8,0.9,0.0,0.0,2022-04-12
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,250251,4,0.3,0.3,0.4,0.3,0.3,0.0,0.0,2022-04-12
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,139103,6,0.6,0.6,0.7,0.6,0.7,0.1,16.67,2022-04-12
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,11109,28,44.9,45.5,50.0,43.2,46.6,1.7,3.79,2022-04-12
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,1166,6,11.3,10.6,10.6,10.0,10.3,-1.0,-8.85,2022-04-12
BROWN & COMPANY PLC,BRWN.N0000,3059,26,118.0,118.75,125.0,112.0,119.5,1.5,1.27,2022-04-12
BROWNS BEACH HOTELS PLC,BBH.N0000,867,7,10.0,9.5,9.5,9.5,9.5,-0.5,-5.0,2022-04-12
BROWNS INVESTMENTS PLC,BIL.N0000,16206121,928,6.0,5.9,6.4,5.8,6.1,0.1,1.67,2022-04-12
BUKIT DARAH PLC,BUKI.N0000,200,3,365.0,345.0,370.0,340.25,370.0,5.0,1.37,2022-04-12
C I C HOLDINGS PLC,CIC.X0000,109376,84,20.8,23.4,23.4,20.0,20.6,-0.2,-0.96,2022-04-12
C I C HOLDINGS PLC,CIC.N0000,7380,12,34.5,38.0,38.0,34.1,35.3,0.8,2.32,2022-04-12
C M HOLDINGS PLC,COLO.N0000,676,8,69.9,69.9,69.9,67.0,68.0,-1.9,-2.72,2022-04-12
