Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change Percentage (%),Date
ACCESS ENGINEERING PLC,AEL.N0000,5000,1,13.9,13.7,13.7,13.7,13.7,-0.2,-1.44,2023-03-10
ACL CABLES PLC,ACL.N0000,18490,22,85.1,85.9,85.9,85.0,85.0,-0.1,-0.12,2023-03-10
AGSTAR PLC,AGST.N0000,5000,2,13.3,13.4,13.4,13.3,13.3,0.0,0.0,2023-03-10
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,532,1,61.4,60.5,60.5,60.5,60.5,-0.9,-1.47,2023-03-10
AITKEN SPENCE PLC,SPEN.N0000,120,1,139.25,139.25,139.25,139.25,139.25,0.0,0.0,2023-03-10
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,140,1,67.5,68.0,68.0,68.0,68.0,0.5,0.74,2023-03-10
ALUMEX PLC,ALUM.N0000,1900,1,8.8,8.8,8.8,8.8,8.8,0.0,0.0,2023-03-10
AMANA BANK PLC,ABL.N0000,16000,1,2.8,2.8,2.8,2.8,2.8,0.0,0.0,2023-03-10
AMBEON CAPITAL PLC,TAP.N0000,3150,1,9.5,9.8,9.8,9.8,9.8,0.3,3.16,2023-03-10
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,1,1,40.3,40.0,40.0,40.0,40.0,-0.3,-0.74,2023-03-10
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,176,1,26.9,26.6,26.6,26.6,26.6,-0.3,-1.12,2023-03-10
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,103,1,12.5,12.5,12.5,12.5,12.5,0.0,0.0,2023-03-10
BAIRAHA FARMS PLC,BFL.N0000,115,2,150.75,151.0,151.0,151.0,151.0,0.25,0.17,2023-03-10
BALANGODA PLANTATIONS PLC,BALA.N0000,475,1,64.2,64.5,64.5,64.5,64.5,0.3,0.47,2023-03-10
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,100,1,11.3,11.3,11.3,11.3,11.3,0.0,0.0,2023-03-10
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,3,1,66.3,67.7,67.7,67.7,67.7,1.4,2.11,2023-03-10
BROWNS INVESTMENTS PLC,BIL.N0000,32270,5,6.3,6.4,6.4,6.3,6.3,0.0,0.0,2023-03-10
BUKIT DARAH PLC,BUKI.N0000,15,1,405.0,405.0,405.0,405.0,405.0,0.0,0.0,2023-03-10
C I C HOLDINGS PLC,CIC.X0000,3953,4,56.6,56.0,56.0,55.7,56.0,-0.6,-1.06,2023-03-10
CAPITAL ALLIANCE PLC,CALT.N0000,23200,4,35.2,35.0,35.0,34.9,34.9,-0.3,-0.85,2023-03-10
CARSON CUMBERBATCH PLC,CARS.N0000,100,1,285.0,285.0,285.0,285.0,285.0,0.0,0.0,2023-03-10
CENTRAL INDUSTRIES PLC,CIND.N0000,360,5,90.0,92.4,92.4,92.4,92.4,2.4,2.67,2023-03-10
CEYLON COLD STORES PLC,CCS.N0000,1,1,35.8,36.9,36.9,36.9,36.9,1.1,3.07,2023-03-10
CEYLON HOSPITALS PLC,CHL.N0000,2,1,130.5,135.0,135.0,135.0,135.0,4.5,3.45,2023-03-10
CEYLON TEA BROKERS PLC,CTBL.N0000,1,1,4.1,4.1,4.1,4.1,4.1,0.0,0.0,2023-03-10
CHRISSWORLD PLC,CWL.N0000,1,1,11.4,12.2,12.2,12.2,12.2,0.8,7.02,2023-03-10
CITRUS LEISURE PLC,REEF.N0000,5,1,6.3,6.3,6.3,6.3,6.3,0.0,0.0,2023-03-10
Co-operative Insurance Company PLC,COOP.N0000,9110,1,3.5,3.6,3.6,3.6,3.6,0.1,2.86,2023-03-10
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,1,1,1153.5,1145.0,1145.0,1145.0,1145.0,-8.5,-0.74,2023-03-10
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,9000,1,18.4,18.5,18.5,18.5,18.5,0.1,0.54,2023-03-10
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,1000,1,59.9,60.0,60.0,60.0,60.0,0.1,0.17,2023-03-10
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,506,1,69.1,69.0,69.0,69.0,69.0,-0.1,-0.14,2023-03-10
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,15,1,27.9,28.0,28.0,28.0,28.0,0.1,0.36,2023-03-10
DIALOG AXIATA PLC,DIAL.N0000,611,5,10.7,10.6,10.8,10.6,10.6,-0.1,-0.93,2023-03-10
DIPPED PRODUCTS PLC,DIPD.N0000,29860,22,30.7,31.0,31.2,31.0,31.1,0.4,1.3,2023-03-10
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,15324,3,20.9,21.0,21.0,21.0,21.0,0.1,0.48,2023-03-10
E - CHANNELLING PLC,ECL.N0000,1000,1,11.9,12.4,12.4,12.4,12.4,0.5,4.2,2023-03-10
E M L CONSULTANTS PLC,EML.N0000,40,1,4.3,4.4,4.4,4.4,4.4,0.1,2.33,2023-03-10
EAST WEST PROPERTIES PLC,EAST.N0000,5,1,7.6,7.8,7.8,7.8,7.8,0.2,2.63,2023-03-10
EASTERN MERCHANTS PLC,EMER.N0000,100,1,9.1,9.4,9.4,9.4,9.4,0.3,3.3,2023-03-10
