id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,3,16.923076923076923,22.0,152.0,130.0,152.0,152.0,1680757071520,01/JAN/1984,456.0,3,1,664372800.0,0.0,152.0,0.0,3,1,0,2023-04-06 05:24:46.245516,2023-04-06
2065,ACCESS ENGINEERING PLC,AEL.N0000,863,0.0,0.0,14.0,14.0,14.1,13.9,1680759135777,27/MAR/2012,420878.0,30127,14,14000000000.0,0.0,14.0,0.0,30127,14,0,2023-04-06 05:24:46.245516,2023-04-06
472,ACL CABLES PLC,ACL.N0000,35,-0.3614457831325301,-0.3,82.7,83.0,83.0,81.8,1680759123928,01/JAN/1976,8725979.6,106068,55,19884701760.0,0.0,82.9,0.0,106068,55,0,2023-04-06 05:24:46.245516,2023-04-06
406,ACL PLASTICS PLC,APLA.N0000,300,1.2820512820512822,5.0,395.0,390.0,395.0,390.0,1680757752953,05/APR/1995,157502.5,400,3,1642875000.0,0.0,390.5,0.0,400,3,0,2023-04-06 05:24:46.245516,2023-04-06
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,3941,-0.9584664536741214,-0.3,31.0,31.3,32.0,31.0,1680758723526,22/JAN/1996,514155.6,16541,30,4890625000.0,0.0,32.0,0.0,16541,30,0,2023-04-06 05:24:46.245516,2023-04-06
2026,AGSTAR PLC,AGST.N0000,5,-0.9009009009009009,-0.1,11.0,11.1,11.3,11.0,1680758858627,16/FEB/2012,725865.0,65705,22,5120313061.5,0.0,11.2,0.0,65705,22,2,2023-04-06 05:24:46.245516,2023-04-06
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,71,0.847457627118644,0.5,59.5,59.0,61.0,59.5,1680759060788,01/JAN/1980,9879.5,164,5,19841110590.0,0.0,61.0,0.0,164,5,0,2023-04-06 05:24:46.245516,2023-04-06
343,AITKEN SPENCE PLC,SPEN.N0000,2,0.0,0.0,129.0,129.0,129.0,129.0,1680758097340,01/JAN/1983,14448.0,112,4,52373489805.0,0.0,129.0,0.0,112,4,0,2023-04-06 05:24:46.245516,2023-04-06
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,30,0.0,0.0,67.0,67.0,67.7,67.0,1680758965757,01/JAN/1959,39014.2,582,14,2257632000.0,0.0,67.7,0.0,582,14,0,2023-04-06 05:24:46.245516,2023-04-06
3082,ALUMEX PLC,ALUM.N0000,830,0.0,0.0,8.3,8.3,8.4,8.3,1680758054415,31/MAR/2014,68269.3,8221,9,4968427144.0,0.0,8.3,0.0,8221,9,2,2023-04-06 05:24:46.245516,2023-04-06
3046,AMANA BANK PLC,ABL.N0000,7500,0.0,0.0,2.6,2.6,2.7,2.5,1680758296563,29/JAN/2014,44556.2,17133,17,7238268728.6,0.0,2.7,0.0,17133,17,0,2023-04-06 05:24:46.245516,2023-04-06
3575,AMANA TAKAFUL LIFE PLC,ATLL.N0000,1,0.9523809523809523,0.3,31.8,31.5,31.8,31.8,1680756770047,18/AUG/2016,31.8,1,1,1575000000.0,0.0,31.8,0.0,1,1,2,2023-04-06 05:24:46.245516,2023-04-06
2145,AMBEON CAPITAL PLC,TAP.N0000,200,0.0,0.0,9.0,9.0,9.3,9.0,1680759526329,17/MAY/2012,51480.0,5670,16,9024523335.0,0.0,9.3,0.0,5670,16,3,2023-04-06 05:24:46.245516,2023-04-06
2209,ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,8,0.0,0.0,4.1,4.1,4.1,4.0,1680757935957,12/SEP/2012,18342.5,4585,5,1066000000.0,0.0,4.1,0.0,4585,5,2,2023-04-06 05:24:46.245516,2023-04-06
240,ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,5,3.2,0.4,12.9,12.5,12.9,12.2,1680758979170,12/NOV/2004,89877.3,7058,11,6605719312.5,0.0,12.2,0.0,7058,11,0,2023-04-06 05:24:46.245516,2023-04-06
225,ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,20,3.3057851239669422,0.8,25.0,24.2,25.0,23.4,1680758197163,01/JUN/1986,1016.4,42,4,27528313023.2,0.0,23.4,0.0,42,4,0,2023-04-06 05:24:46.245516,2023-04-06
188,BAIRAHA FARMS PLC,BFL.N0000,24,-0.5208333333333334,-0.75,143.25,144.0,143.25,143.25,1680757839884,05/DEC/1994,8595.0,60,6,2534400000.0,0.0,143.25,0.0,60,6,0,2023-04-06 05:24:46.245516,2023-04-06
193,BALANGODA  PLANTATIONS  PLC,BALA.N0000,2,1.1058451816745656,0.7,64.0,63.3,64.2,63.2,1680759105427,03/JUN/1998,40718.8,642,8,2992363555.8,0.0,64.2,0.0,642,8,0,2023-04-06 05:24:46.245516,2023-04-06
189,BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1,2.857142857142857,1.8,64.8,63.0,64.8,62.5,1680757948762,08/MAY/1992,3005.9,48,3,5961872952.0,0.0,62.5,0.0,48,3,2,2023-04-06 05:24:46.245516,2023-04-06
25,BROWN & COMPANY PLC,BRWN.N0000,20,0.0,0.0,116.25,116.25,118.5,116.25,1680758304567,25/APR/1991,98549.0,834,13,24717656250.0,0.0,118.5,0.0,834,13,2,2023-04-06 05:24:46.245516,2023-04-06
1851,BROWNS INVESTMENTS PLC,BIL.N0000,15000,0.0,0.0,6.0,6.0,6.1,5.9,1680759532860,26/JUL/2011,5649039.0,941579,107,86218304760.0,0.0,6.0,0.0,941579,107,2,2023-04-06 05:24:46.245516,2023-04-06
335,C. W. MACKIE PLC,CWM.N0000,50,-0.12484394506866417,-0.1,80.0,80.1,80.2,79.5,1680758556303,09/JAN/1995,623116.9,7803,25,2882683335.6,0.0,80.2,0.0,7803,25,2,2023-04-06 05:24:46.245516,2023-04-06
5293,CAPITAL ALLIANCE PLC,CALT.N0000,200,-0.5934718100890207,-0.2,33.5,33.7,34.4,33.1,1680759404243,15/DEC/2021,10058259.3,297068,50,11101382690.8,0.0,34.0,0.0,297068,50,2,2023-04-06 05:24:46.245516,2023-04-06
551,CARGILLS (CEYLON) PLC,CARG.N0000,706,3.004291845493562,7.0,240.0,233.0,240.0,233.0,1680758659065,01/JAN/1946,487950.0,2055,5,60038911323.0,0.0,233.0,0.0,2055,5,0,2023-04-06 05:24:46.245516,2023-04-06
22,CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,1,16.186252771618626,7.3,52.4,45.1,52.6,50.1,1680757646974,01/JAN/1981,1858.5,37,5,813242974.5,0.0,50.1,0.0,37,5,0,2023-04-06 05:24:46.245516,2023-04-06
447,CENTRAL FINANCE COMPANY PLC,CFIN.N0000,5599,0.0,0.0,67.0,67.0,67.2,67.0,1680758557782,01/JAN/1969,408904.3,6102,7,15232748954.0,0.0,67.1,0.0,6102,7,0,2023-04-06 05:24:46.245516,2023-04-06
